Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,iEEET1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477881,0.4,0.0,1.4314197089012368,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.40000002524778805,0.4,-2.96645774086245e-19,1.4314197089012368,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.40000002524778805,0.4,-2.96645774086245e-19,1.4314197089012368,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053213,0.4000000252451748,0.4,-5.898536541948835e-12,1.4314197089012368,0.9999999913061285,0.9919935378249731,0.9999999954927712,0.9959841726475223
0.004,34.40369990021364,0.40000002523737477,0.4,-1.1795304240950857e-11,1.4314197089012337,0.9999999913063404,0.9919935378251504,0.9999999954928764,0.9959841726476615
0.006,34.403699899682906,0.40000002522444655,0.4,-1.7689098364517153e-11,1.4314197089012182,0.999999991306693,0.9919935378254449,0.9999999954930511,0.9959841726478929
0.008,34.40369989894007,0.4000000252064481,0.4,-2.357872776612397e-11,1.4314197089011722,0.9999999913071855,0.9919935378258558,0.999999995493295,0.9959841726482157
0.01,34.4036998979853,0.40000002518343586,0.4,-2.9463014896020977e-11,1.4314197089010707,0.9999999913078171,0.9919935378263824,0.9999999954936079,0.9959841726486295
0.012,34.40369989681881,0.4000000251554668,0.4,-3.534079556561149e-11,1.4314197089008829,0.9999999913085876,0.9919935378270239,0.9999999954939889,0.9959841726491337
0.014,34.40369989544085,0.40000002512259597,0.4,-4.121091867076137e-11,1.4314197089005727,0.9999999913094958,0.99199353782778,0.9999999954944381,0.9959841726497278
0.016,34.40369989385172,0.40000002508487764,0.4,-4.707224616369762e-11,1.4314197089000997,0.9999999913105412,0.9919935378286492,0.9999999954949547,0.9959841726504112
0.018,34.40369989205177,0.400000025042367,0.4,-5.292365273956918e-11,1.4314197088994203,0.9999999913117229,0.991993537829631,0.9999999954955383,0.995984172651183
0.02,34.40369989004135,0.40000002499511667,0.4,-5.8764025799699e-11,1.4314197088984881,0.9999999913130404,0.9919935378307244,0.9999999954961886,0.9959841726520429
0.022,34.4036998878209,0.40000002494318004,0.4,-6.45922653326932e-11,1.4314197088972547,0.9999999913144927,0.991993537831929,0.999999995496905,0.9959841726529901
0.024,34.403699885390864,0.4000000248866095,0.4,-7.040728366801318e-11,1.43141970889567,0.999999991316079,0.9919935378332436,0.999999995497687,0.9959841726540241
0.026,34.403699882751745,0.40000002482545693,0.4,-7.620800546516731e-11,1.4314197088936829,0.9999999913177985,0.9919935378346674,0.9999999954985344,0.9959841726551442
0.028,34.403699879904075,0.4000000247597733,0.4,-8.199336755807223e-11,1.4314197088912415,0.99999999131965,0.9919935378361995,0.9999999954994463,0.9959841726563494
0.03,34.403699876848414,0.4000000246896104,0.4,-8.776231882535383e-11,1.4314197088882938,0.9999999913216329,0.9919935378378393,0.9999999955004224,0.9959841726576395
0.032,34.40369987358539,0.4000000246150181,0.4,-9.351382007794157e-11,1.4314197088847875,0.9999999913237462,0.9919935378395855,0.9999999955014622,0.9959841726590135
0.034,34.40369987011564,0.4000000245360467,0.4,-9.92468440223204e-11,1.4314197088806708,0.9999999913259886,0.9919935378414375,0.9999999955025652,0.9959841726604708
0.036,34.40369986643985,0.40000002445274613,0.4,-1.0496037510273035e-10,1.4314197088758924,0.9999999913283597,0.9919935378433943,0.9999999955037309,0.9959841726620109
0.038,34.40369986255874,0.400000024365166,0.4,-1.1065340944928704e-10,1.4314197088704015,0.999999991330858,0.9919935378454547,0.9999999955049585,0.9959841726636326
0.04,34.40369985847306,0.4000000242733548,0.4,-1.1632495488878981e-10,1.4314197088641485,0.9999999913334823,0.991993537847618,0.9999999955062476,0.9959841726653355
0.042,34.403699854183614,0.4000000241773618,0.4,-1.2197403064857586e-10,1.4314197088570848,0.999999991336232,0.9919935378498834,0.9999999955075977,0.9959841726671186
0.044,34.403699849691215,0.4000000240772356,0.4,-1.275996674667643e-10,1.431419708849163,0.9999999913391056,0.9919935378522494,0.9999999955090082,0.9959841726689814
0.046,34.40369984499673,0.40000002397302437,0.4,-1.3320090749065873e-10,1.4314197088403364,0.9999999913421022,0.9919935378547156,0.9999999955104785,0.9959841726709232
0.048,34.403699840101055,0.4000000238647763,0.4,-1.3877680431133352e-10,1.4314197088305607,0.9999999913452204,0.9919935378572805,0.999999995512008,0.9959841726729428
0.05,34.40369983500511,0.40000002375253935,0.4,-1.443264226999127e-10,1.4314197088197922,0.9999999913484595,0.9919935378599435,0.9999999955135962,0.9959841726750398
0.052,34.40369982970988,0.4000000236363605,0.4,-1.4984883866809602e-10,1.431419708807989,0.9999999913518177,0.9919935378627032,0.9999999955152422,0.9959841726772131
0.054,34.40369982421634,0.40000002351628794,0.4,-1.5534313948761396e-10,1.4314197087951108,0.9999999913552939,0.9919935378655587,0.9999999955169456,0.9959841726794619
0.056,34.403699818525524,0.40000002339236906,0.4,-1.6080842354107377e-10,1.431419708781119,0.9999999913588872,0.9919935378685089,0.9999999955187058,0.9959841726817856
0.058,34.40369981263849,0.4000000232646504,0.4,-1.6624380036303092e-10,1.4314197087659761,0.999999991362596,0.991993537871553,0.9999999955205222,0.9959841726841832
0.06,34.40369980655634,0.40000002313317906,0.4,-1.7164839056000798e-10,1.431419708749647,0.9999999913664189,0.9919935378746895,0.9999999955223939,0.9959841726866538
0.062,34.40369980028019,0.40000002299800264,0.4,-1.7702132576293852e-10,1.4314197087320975,0.9999999913703549,0.9919935378779176,0.9999999955243206,0.9959841726891969
0.064,34.40369979381119,0.4000000228591676,0.4,-1.8236174873308766e-10,1.4314197087132952,0.9999999913744025,0.991993537881236,0.9999999955263014,0.995984172691811
0.066,34.40369978715054,0.40000002271672,0.4,-1.8766881311346262e-10,1.4314197086932094,0.9999999913785604,0.9919935378846438,0.9999999955283357,0.9959841726944958
0.068,34.40369978029945,0.4000000225707071,0.4,-1.9294168356067323e-10,1.4314197086718115,0.9999999913828268,0.9919935378881394,0.9999999955304225,0.9959841726972499
0.07,34.403699773259156,0.40000002242117544,0.4,-1.9817953572331545e-10,1.4314197086490736,0.9999999913872009,0.9919935378917224,0.9999999955325618,0.995984172700073
0.072,34.40369976603095,0.40000002226817155,0.4,-2.0338155614902043e-10,1.43141970862497,0.9999999913916807,0.9919935378953909,0.9999999955347524,0.9959841727029636
0.074,34.40369975861612,0.4000000221117414,0.4,-2.085469423644357e-10,1.4314197085994764,0.999999991396265,0.9919935378991442,0.9999999955369937,0.995984172705921
0.076,34.40369975101601,0.40000002195193174,0.4,-2.136749027974055e-10,1.4314197085725702,0.9999999914009525,0.9919935379029808,0.999999995539285,0.9959841727089442
0.078,34.40369974323198,0.4000000217887892,0.4,-2.1876465680507245e-10,1.4314197085442297,0.9999999914057417,0.9919935379068998,0.9999999955416256,0.9959841727120325
0.08,34.40369973526543,0.4000000216223596,0.4,-2.23815434615513e-10,1.4314197085144358,0.9999999914106306,0.9919935379109001,0.9999999955440148,0.9959841727151847
0.082,34.40369972711775,0.4000000214526893,0.4,-2.2882647733422222e-10,1.4314197084831697,0.999999991415618,0.9919935379149799,0.9999999955464517,0.9959841727183999
0.084,34.4036997187904,0.40000002127982476,0.4,-2.337970369527606e-10,1.431419708450415,0.9999999914207025,0.9919935379191384,0.9999999955489357,0.9959841727216772
0.086,34.403699710284855,0.4000000211038123,0.4,-2.3872637639414855e-10,1.431419708416156,0.9999999914258824,0.9919935379233742,0.9999999955514661,0.9959841727250155
0.088,34.403699701602605,0.400000020924698,0.4,-2.436137693961374e-10,1.4314197083803788,0.9999999914311559,0.9919935379276863,0.9999999955540421,0.9959841727284139
0.09,34.40369969274518,0.4000000207425282,0.4,-2.484585006841413e-10,1.4314197083430706,0.9999999914365219,0.9919935379320733,0.999999995556663,0.9959841727318713
0.092,34.403699683714116,0.400000020557349,0.4,-2.532598657399408e-10,1.43141970830422,0.999999991441978,0.9919935379365339,0.9999999955593278,0.9959841727353869
0.094,34.403699674510996,0.40000002036920745,0.4,-2.580171709832613e-10,1.431419708263817,0.9999999914475236,0.9919935379410668,0.9999999955620361,0.9959841727389597
0.096,34.40369966513742,0.40000002017814884,0.4,-2.627297337220552e-10,1.4314197082218525,0.9999999914531561,0.9919935379456709,0.9999999955647868,0.9959841727425883
0.098,34.403699655595,0.40000001998422063,0.4,-2.673968821438554e-10,1.431419708178319,0.9999999914588746,0.9919935379503448,0.9999999955675792,0.9959841727462722
