Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.40000002524778816,0.4,0.0,1.431419708901237,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.40000002524517486,0.4,-5.898536567888624e-12,1.4314197089017149,0.9999999913061285,0.9919935378249731,0.9999999954927711,0.9959841726475223
0.004,34.403699900213645,0.40000002523737516,0.4,-1.1795304299315385e-11,1.431419708902675,0.9999999913063403,0.9919935378251503,0.9999999954928763,0.9959841726476614
0.006,34.40369989968291,0.40000002522444705,0.4,-1.7689098522317542e-11,1.4314197089038478,0.999999991306693,0.9919935378254449,0.9999999954930511,0.9959841726478929
0.008,34.403699898940076,0.4000000252064489,0.4,-2.3578728040653417e-11,1.4314197089051435,0.9999999913071859,0.991993537825856,0.9999999954932952,0.9959841726482157
0.01,34.403699897985305,0.40000002518343747,0.4,-2.9463015438594926e-11,1.4314197089065304,0.9999999913078179,0.9919935378263828,0.9999999954936081,0.9959841726486298
0.012,34.403699896818814,0.40000002515546895,0.4,-3.5340796518898785e-11,1.4314197089079945,0.9999999913085887,0.9919935378270247,0.9999999954939894,0.9959841726491343
0.014,34.40369989544086,0.40000002512259913,0.4,-4.1210920266058476e-11,1.4314197089095302,0.9999999913094976,0.991993537827781,0.9999999954944389,0.9959841726497288
0.016,34.40369989385173,0.4000000250848825,0.4,-4.7072248627977695e-11,1.431419708911133,0.9999999913105437,0.9919935378286507,0.9999999954949557,0.9959841726504125
0.018,34.403699892051776,0.4000000250423731,0.4,-5.292365642518105e-11,1.4314197089127976,0.9999999913117268,0.9919935378296331,0.9999999954955396,0.9959841726511848
0.02,34.40369989004136,0.4000000249951247,0.4,-5.876403110870941e-11,1.4314197089145215,0.9999999913130453,0.9919935378307273,0.9999999954961905,0.9959841726520453
0.022,34.403699887820906,0.40000002494319037,0.4,-6.459227273634168e-11,1.4314197089163005,0.9999999913144991,0.9919935378319328,0.9999999954969075,0.9959841726529933
0.024,34.40369988539087,0.40000002488662256,0.4,-7.040729375642997e-11,1.4314197089181313,0.9999999913160873,0.9919935378332485,0.9999999954976904,0.9959841726540283
0.026,34.40369988275175,0.40000002482547303,0.4,-7.620801893872674e-11,1.4314197089200107,0.9999999913178086,0.9919935378346734,0.9999999954985384,0.9959841726551492
0.028,34.403699879904075,0.4000000247597935,0.4,-8.199338526846408e-11,1.4314197089219347,0.9999999913196628,0.991993537836207,0.9999999954994513,0.9959841726563556
0.03,34.40369987684842,0.4000000246896348,0.4,-8.776234172154209e-11,1.431419708923901,0.9999999913216485,0.9919935378378486,0.9999999955004286,0.9959841726576472
0.032,34.403699873585396,0.4000000246150479,0.4,-9.351384929911537e-11,1.4314197089259066,0.9999999913237653,0.9919935378395968,0.9999999955014698,0.995984172659023
0.034,34.403699870115645,0.4000000245360825,0.4,-9.924688088924739e-11,1.4314197089279472,0.9999999913260117,0.9919935378414511,0.9999999955025742,0.995984172660482
0.036,34.40369986643986,0.40000002445278904,0.4,-1.0496042118692949e-10,1.4314197089300205,0.9999999913283872,0.9919935378434105,0.9999999955037417,0.9959841726620243
0.038,34.403699862558746,0.40000002436521687,0.4,-1.1065346654492716e-10,1.431419708932123,0.9999999913308906,0.991993537845474,0.9999999955049713,0.9959841726636487
0.04,34.40369985847307,0.4000000242734153,0.4,-1.1632502500188136e-10,1.4314197089342529,0.9999999913335212,0.9919935378476409,0.9999999955062628,0.9959841726653546
0.042,34.403699854183614,0.4000000241774332,0.4,-1.219741161288315e-10,1.4314197089364065,0.9999999913362778,0.9919935378499103,0.9999999955076158,0.9959841726671412
0.044,34.403699849691215,0.4000000240773188,0.4,-1.2759977093842616e-10,1.4314197089385816,0.9999999913391593,0.991993537852281,0.9999999955090293,0.9959841726690079
0.046,34.40369984499673,0.40000002397312145,0.4,-1.3320103203623857e-10,1.4314197089407745,0.9999999913421649,0.9919935378547523,0.9999999955105031,0.9959841726709538
0.048,34.40369984010105,0.40000002386488914,0.4,-1.3877695332894386e-10,1.4314197089429836,0.9999999913452933,0.9919935378573232,0.9999999955120367,0.9959841726729785
0.05,34.403699835005106,0.4000000237526694,0.4,-1.443265999767629e-10,1.4314197089452059,0.9999999913485434,0.9919935378599928,0.9999999955136291,0.9959841726750809
0.052,34.403699829709865,0.40000002363650994,0.4,-1.4984904852316118e-10,1.431419708947439,0.9999999913519141,0.9919935378627598,0.9999999955152801,0.9959841726772604
0.054,34.40369982421631,0.400000023516459,0.4,-1.553433866981388e-10,1.4314197089496798,0.9999999913554046,0.9919935378656236,0.9999999955169891,0.9959841726795161
0.056,34.40369981852549,0.4000000233925639,0.4,-1.6080871346794828e-10,1.4314197089519274,0.9999999913590135,0.9919935378685831,0.9999999955187555,0.9959841726818476
0.058,34.40369981263844,0.4000000232648721,0.4,-1.6624413890971903e-10,1.431419708954178,0.9999999913627398,0.9919935378716374,0.9999999955205787,0.9959841726842537
0.06,34.403699806556276,0.40000002313343047,0.4,-1.7164878430224657e-10,1.4314197089564291,0.999999991366582,0.9919935378747852,0.999999995522458,0.9959841726867338
0.062,34.40369980028011,0.4000000229982862,0.4,-1.7702178196603047e-10,1.4314197089586793,0.9999999913705392,0.9919935378780257,0.999999995524393,0.9959841726892872
0.064,34.40369979381109,0.4000000228594868,0.4,-1.8236227530434573e-10,1.4314197089609264,0.9999999913746103,0.9919935378813578,0.999999995526383,0.9959841726919129
0.066,34.40369978715042,0.400000022717079,0.4,-1.8766941883350583e-10,1.4314197089631684,0.9999999913787937,0.9919935378847806,0.9999999955284274,0.9959841726946103
0.068,34.4036997802993,0.4000000225711094,0.4,-1.9294237807910356e-10,1.431419708965402,0.9999999913830884,0.9919935378882929,0.9999999955305254,0.9959841726973783
0.07,34.403699773258985,0.4000000224216246,0.4,-1.9818032954142467e-10,1.4314197089676257,0.9999999913874932,0.9919935378918938,0.9999999955326767,0.9959841727002162
0.072,34.40369976603075,0.40000002226867193,0.4,-2.033824607689439e-10,1.4314197089698375,0.9999999913920066,0.9919935378955821,0.9999999955348806,0.9959841727031233
0.074,34.403699758615886,0.40000002211229796,0.4,-2.0854797028050573e-10,1.4314197089720369,0.9999999913966274,0.9919935378993565,0.999999995537136,0.9959841727060985
0.076,34.40369975101574,0.40000002195254863,0.4,-2.1367606762152706e-10,1.43141970897422,0.9999999914013546,0.9919935379032166,0.999999995539443,0.9959841727091413
