Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,36.640795779154985,0.40000002710138155,0.4,0.0,0.9999999923153072,0.9919935384147066,0.9999999958885789,0.9959841731407024
0.002,36.640795779041014,0.40000002709859495,0.4,-6.33158506154347e-12,0.9999999923153765,0.991993538414766,0.9999999958886139,0.995984173140749
0.004,36.640795778699136,0.4000000270903499,0.4,-1.2661286401455509e-11,0.9999999923155585,0.9919935384149283,0.9999999958887084,0.9959841731408752
0.006,36.64079577812944,0.4000000270768087,0.4,-1.8987848121010845e-11,0.9999999923158169,0.9919935384151706,0.9999999958888474,0.9959841731410624
0.008,36.64079577733206,0.4000000270581251,0.4,-2.5310051277038776e-11,0.9999999923161185,0.9919935384154721,0.9999999958890173,0.9959841731412935
0.01,36.64079577630718,0.4000000270344438,0.4,-3.162671189752922e-11,0.9999999923164326,0.9919935384158137,0.9999999958892057,0.9959841731415524
0.012,36.64079577505501,0.40000002700590037,0.4,-3.793667891077279e-11,0.999999992316731,0.9919935384161779,0.999999995889401,0.995984173141825
0.014,36.640795773575825,0.4000000269726243,0.4,-4.423883225391774e-11,0.9999999923169891,0.9919935384165486,0.9999999958895931,0.9959841731420979
0.016,36.640795771869925,0.40000002693473635,0.4,-5.053208115229721e-11,0.9999999923171832,0.9919935384169113,0.9999999958897721,0.9959841731423591
0.018,36.64079576993764,0.40000002689235103,0.4,-5.6815362461444316e-11,0.9999999923172923,0.9919935384172526,0.9999999958899293,0.9959841731425977
0.02,36.64079576777935,0.40000002684557723,0.4,-6.308763922743379e-11,0.9999999923172976,0.9919935384175602,0.9999999958900572,0.9959841731428035
0.022,36.640795765395474,0.40000002679451696,0.4,-6.934789915859593e-11,0.9999999923171811,0.9919935384178236,0.9999999958901482,0.9959841731429678
0.024,36.64079576278646,0.40000002673926727,0.4,-7.559515345174121e-11,0.9999999923169272,0.9919935384180322,0.9999999958901958,0.995984173143082
0.026,36.64079575995279,0.4000000266799206,0.4,-8.182843535682511e-11,0.999999992316522,0.9919935384181772,0.9999999958901945,0.9959841731431388
0.028,36.640795756894995,0.40000002661656464,0.4,-8.804679928634873e-11,0.9999999923159524,0.9919935384182503,0.9999999958901385,0.9959841731431315
0.03,36.64079575361362,0.4000000265492826,0.4,-9.424931976263555e-11,0.9999999923152066,0.9919935384182441,0.9999999958900233,0.9959841731430538
0.032,36.64079575010924,0.40000002647815297,0.4,-1.0043509026567251e-10,0.9999999923142752,0.9919935384181521,0.9999999958898446,0.9959841731429003
0.034,36.640795746382494,0.4000000264032521,0.4,-1.0660322239006673e-10,0.999999992313148,0.991993538417968,0.9999999958895983,0.9959841731426664
0.036,36.64079574243403,0.40000002632465104,0.4,-1.1275284505388194e-10,0.9999999923118172,0.9919935384176867,0.9999999958892812,0.9959841731423472
0.038,36.64079573826452,0.40000002624241887,0.4,-1.1888310367721186e-10,0.9999999923102756,0.991993538417303,0.99999999588889,0.9959841731419392
0.04,36.64079573387469,0.4000000261566218,0.4,-1.2499315950990719e-10,0.9999999923085168,0.9919935384168131,0.9999999958884221,0.9959841731414386
0.042,36.64079572926527,0.4000000260673219,0.4,-1.3108218877556255e-10,0.9999999923065349,0.9919935384162131,0.999999995887875,0.9959841731408426
0.044,36.64079572443704,0.4000000259745799,0.4,-1.371493822824197e-10,0.9999999923043256,0.9919935384154999,0.999999995887247,0.9959841731401488
0.046,36.64079571939079,0.4000000258784535,0.4,-1.4319394463220393e-10,0.999999992301884,0.9919935384146702,0.9999999958865358,0.9959841731393541
0.048,36.64079571412735,0.40000002577899857,0.4,-1.4921509383102706e-10,0.9999999922992072,0.991993538413722,0.9999999958857401,0.9959841731384571
0.05,36.64079570864759,0.40000002567626874,0.4,-1.5521206070358067e-10,0.999999992296292,0.9919935384126529,0.9999999958848584,0.995984173137456
0.052,36.64079570295238,0.4000000255703157,0.4,-1.611840883765019e-10,0.999999992293136,0.9919935384114611,0.9999999958838899,0.9959841731363492
