Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477882,0.4,0.0,0.0,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053215,0.40000002524500783,0.4,-5.898479093606145e-12,-4.496946072665196e-09,0.9999999913060192,0.9919935378249091,0.9999999954927282,0.9959841726474686
0.004,34.40369990021368,0.40000002523690675,0.4,-1.1794882490858882e-11,-8.248114147309442e-09,0.9999999913060281,0.991993537824967,0.9999999954927534,0.9959841726475084
0.006,34.403699899365904,0.40000002521618805,0.4,-1.7679362808472095e-11,-1.0633974705864436e-08,0.9999999913063737,0.9919935378253082,0.9999999954929465,0.9959841726477702
0.008,34.4036998984975,0.4000000251949826,0.4,-2.356331598817545e-11,-1.297109808956869e-08,0.9999999913067339,0.9919935378256611,0.9999999954931464,0.9959841726480412
0.01,34.40369989684939,0.4000000251561089,0.4,-2.940996955730618e-11,-1.4213310740014923e-08,0.999999991307649,0.9919935378264602,0.9999999954936145,0.9959841726486648
0.012,34.403699895119445,0.4000000251153806,0.4,-3.525270769770277e-11,-1.5340588009621926e-08,0.9999999913086223,0.9919935378273059,0.9999999954941104,0.9959841726493254
0.014,34.40369989338949,0.400000025074652,0.4,-4.109544583809936e-11,-1.646786527922892e-08,0.9999999913095954,0.9919935378281518,0.9999999954946066,0.9959841726499861
0.016,34.40369989165955,0.40000002503392357,0.4,-4.693818397849595e-11,-1.7595142548835913e-08,0.9999999913105687,0.9919935378289976,0.9999999954951025,0.9959841726506464
0.018,34.40369988857156,0.4000000249643087,0.4,-5.2659042352579137e-11,-1.793507094767047e-08,0.9999999913124454,0.9919935378305703,0.9999999954960351,0.9959841726518814
0.02,34.40369988516294,0.4000000248878743,0.4,-5.835112565204446e-11,-1.808911104697778e-08,0.9999999913145352,0.9919935378323147,0.9999999954970705,0.9959841726532518
0.022,34.403699881754335,0.4000000248114394,0.4,-6.404320895150978e-11,-1.8243151146285106e-08,0.9999999913166251,0.991993537834059,0.999999995498106,0.9959841726546222
0.024,34.40369987834572,0.40000002473500473,0.4,-6.973529225097511e-11,-1.8397191245592423e-08,0.9999999913187149,0.9919935378358034,0.9999999954991414,0.9959841726559927
0.026,34.40369987493711,0.40000002465857026,0.4,-7.542737555044043e-11,-1.8551231344899735e-08,0.9999999913208047,0.9919935378375477,0.999999995500177,0.9959841726573632
0.028,34.403699871528495,0.40000002458213546,0.4,-8.111945884990577e-11,-1.870527144420707e-08,0.9999999913228944,0.991993537839292,0.9999999955012125,0.9959841726587336
0.03,34.40369986811988,0.4000000245057009,0.4,-8.681154214937108e-11,-1.885931154351438e-08,0.9999999913249844,0.9919935378410364,0.9999999955022479,0.9959841726601041
0.032,34.40369986471127,0.40000002442926613,0.4,-9.250362544883642e-11,-1.9013351642821703e-08,0.9999999913270742,0.9919935378427807,0.9999999955032834,0.9959841726614744
0.034,34.403699859422176,0.40000002431667464,0.4,-9.787188905009109e-11,-1.892965078603139e-08,0.9999999913303003,0.9919935378454382,0.9999999955048674,0.9959841726635665
0.036,34.4036998529658,0.4000000241816387,0.4,-1.0303914301696221e-10,-1.8698373290366848e-08,0.9999999913342319,0.9919935378486628,0.999999995506792,0.9959841726661067
0.038,34.40369984650941,0.400000024046603,0.4,-1.0820639698383334e-10,-1.8467095794702282e-08,0.9999999913381634,0.9919935378518873,0.9999999955087163,0.9959841726686468
0.04,34.40369984005303,0.40000002391156714,0.4,-1.1337365095070447e-10,-1.8235818299037756e-08,0.9999999913420948,0.9919935378551117,0.9999999955106409,0.9959841726711868
