Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477882,0.4,0.0,0.0,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.400000025244991,0.4,-5.898522664161026e-12,-4.492979071960515e-09,0.9999999913060099,0.9919935378249036,0.9999999954927246,0.9959841726474641
0.004,34.403699900213645,0.4000000252368607,0.4,-1.1795210782048073e-11,-8.220308054899076e-09,0.999999991306009,0.9919935378249559,0.999999995492746,0.9959841726474989
0.006,34.40369989968292,0.4000000252235797,0.4,-1.7688843741697264e-11,-1.1290109462664413e-08,0.9999999913061339,0.9919935378251169,0.9999999954928314,0.9959841726476188
0.008,34.40369989894009,0.4000000252052427,0.4,-2.357823070786234e-11,-1.3796203676194417e-08,0.9999999913064079,0.9919935378254,0.9999999954929896,0.9959841726478348
0.01,34.40369989798535,0.4000000251819171,0.4,-2.946219916311227e-11,-1.5819938034175138e-08,0.999999991306837,0.9919935378258078,0.9999999954932226,0.9959841726481492
0.012,34.40369989681889,0.40000002515366,0.4,-3.5339590880678855e-11,-1.7431790132614535e-08,0.9999999913074212,0.9919935378263403,0.9999999954935305,0.9959841726485623
0.014,34.40369989544099,0.4000000251205258,0.4,-4.1209260759327754e-11,-1.869277008372142e-08,0.9999999913081586,0.9919935378269961,0.9999999954939126,0.9959841726490727
0.016,34.40369989385193,0.4000000250825676,0.4,-4.7070076233228314e-11,-1.965564520740166e-08,0.9999999913090479,0.9919935378277737,0.9999999954943678,0.9959841726496794
0.018,34.40369989205206,0.40000002503983684,0.4,-5.292091717035601e-11,-2.0366009451077944e-08,0.9999999913100865,0.9919935378286714,0.999999995494895,0.9959841726503812
0.02,34.40369989004176,0.4000000249923861,0.4,-5.876067557850818e-11,-2.0863216552386914e-08,0.9999999913112727,0.9919935378296881,0.9999999954954939,0.9959841726511769
0.022,34.40369988782144,0.4000000249402659,0.4,-6.45882556701535e-11,-2.11811945488849e-08,0.9999999913126043,0.9919935378308218,0.9999999954961628,0.9959841726520648
0.024,34.40369988539157,0.4000000248835277,0.4,-7.040257364842872e-11,-2.1349156120965515e-08,0.9999999913140797,0.9919935378320714,0.9999999954969013,0.9959841726530445
0.026,34.403699882752626,0.4000000248222216,0.4,-7.620255769849202e-11,-2.139221827748434e-08,0.9999999913156973,0.9919935378334354,0.9999999954977086,0.9959841726541145
0.028,34.40369987990517,0.4000000247563984,0.4,-8.198714785782415e-11,-2.133194259946569e-08,0.9999999913174551,0.9919935378349127,0.9999999954985836,0.995984172655274
0.03,34.40369987684975,0.4000000246861077,0.4,-8.775529601190502e-11,-2.1186806263034542e-08,0.9999999913193519,0.991993537836502,0.9999999954995261,0.995984172656522
0.032,34.403699873586994,0.40000002461139916,0.4,-9.350596576883815e-11,-2.0972612428066504e-08,0.9999999913213861,0.9919935378382017,0.9999999955005348,0.9959841726578571
0.034,34.40369987011754,0.4000000245323219,0.4,-9.923813236856134e-11,-2.07028477824523e-08,0.9999999913235554,0.9919935378400108,0.9999999955016089,0.9959841726592785
0.036,34.40369986644208,0.40000002444892563,0.4,-1.0495078265258358e-10,-2.0388993971784382e-08,0.9999999913258597,0.9919935378419282,0.9999999955027482,0.9959841726607856
0.038,34.40369986256133,0.4000000243612588,0.4,-1.1064291503372202e-10,-2.0040798716968083e-08,0.9999999913282964,0.9919935378439527,0.9999999955039518,0.9959841726623775
0.04,34.40369985847605,0.4000000242693701,0.4,-1.1631353936207967e-10,-1.9666511666543123e-08,0.9999999913308648,0.9919935378460831,0.9999999955052188,0.9959841726640527
0.042,34.40369985418703,0.40000002417330766,0.4,-1.2196167694882351e-10,-1.9273089675905923e-08,0.999999991333563,0.9919935378483182,0.9999999955065487,0.9959841726658107
0.044,34.403699849695094,0.40000002407312,0.4,-1.2758636041270749e-10,-1.8866375151796532e-08,0.9999999913363902,0.9919935378506569,0.9999999955079407,0.9959841726676507
